From Sched Date: 06/26/23   To Sched Date: 06/27/23   From Truck:      To Truck: zzzzzzzz   Whs-Code: o   Sort By Load: no   SKU Group: Cabinets   Order Status: To Do Finish In Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sched Date,Attribute,Truck,Load,Cust#,Order,Line,Item,QT,DP,MR,DA,FI,FO,NH,RW,PL,XS,XR,LD,D2,WI,WO,SI,SO,AS,QI,QO,OrigOrd#,ProdLine,OrderCode,ShipDate,Deliv-Window,Species,Color,InvHold,ShipEntry,ProgressiveWO,FINLINE,PA FF Cart#,PA FF Slot#,KIT Cab,Job/Designer,MODS,,,,,,,,,,,,,,
6/26/2023,Wall,382207,30,W1515PT,3125599,1,24W3724B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/28/2023,07/03/23-07/07/23,QSN,BISCOTTI,no,?,,,,, ,COFFMAN_AC/AC0309,D2,QSN,MS,F,H3,BSC,PLYBOX,FIFB,MH21.5,,,,,,
6/26/2023,Wall,382207,40,4163,3138481,1,WST3660B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/28/2023,07/03/23-07/07/23,MPL,SEA SALT CLASSIC,no,?,,,,, ,SD_NOEL_CA/110746,D2,MPL,PM,F,H3,SST,CLSC,PLYBOX,WER,2DG1,FIO,,,,
6/26/2023,Wall,382207,40,4163,3138481,4,WST2760B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/28/2023,07/03/23-07/07/23,MPL,SEA SALT CLASSIC,no,?,,,,, ,SD_NOEL_CA/110746,D2,MPL,PM,F,H3,SST,CLSC,PLYBOX,2DG1,FIO,WEB,,,,
6/26/2023,Wall,382207,40,4163,3138481,6,WST2760B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/28/2023,07/03/23-07/07/23,MPL,SEA SALT CLASSIC,no,?,,,,, ,SD_NOEL_CA/110746,D2,MPL,PM,F,H3,SST,CLSC,PLYBOX,WEL,2DG1,FIO,,,,
6/26/2023,Wall,382207,20,L1001,3139981,2,24W3724B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/28/2023,07/03/23-07/07/23,oak,UNFINISHED,no,?,,,,, ,lamm/DAVID HANS,t2,oak,KI,H,H4,UNF,FFEB,MD18,,,,,,,
6/26/2023,Wall,382207,20,L1001,3139981,3,W3024B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/28/2023,07/03/23-07/07/23,oak,UNFINISHED,no,?,,,,, ,lamm/DAVID HANS,t2,oak,KI,H,H4,UNF,FFEB,,,,,,,,
6/26/2023,Tall,382207,20,L1001,3139981,6,24UCS2496B,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,t2,REG,6/28/2023,07/03/23-07/07/23,oak,UNFINISHED,no,?,,,,, ,lamm/DAVID HANS,t2,oak,KI,H,H4,UNF,MD18,FFETB,,,,,,,
6/26/2023,Wall,382207,20,L1661,3155102,2,W3930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933993,T2,RP,6/28/2023,07/03/23-07/07/23,ald,NATURAL-BURNT SIENNA GLZHGLT,no,?,,,,, ,CAPDET/MELISSA GR,T2,ald,rt,f,NAT,h3,LR,BRN,GLZHGLT,MH28,MW37,MD24,plybox,FIFB,
6/26/2023,Wall,382207,20,L775,3155804,1,WWCH36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3088579,t2,REPL,6/28/2023,07/03/23-07/07/23,ald,FRENCH ROAST,no,?,,,,,KIT,VAN HAASTE/shelly liz,t2,ald,gm,f,FRR,H3,OD12,,,,,,,,
6/26/2023,Base,382207,30,W1515PT,3156016,1,PBICBB36G1S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130299,D2,REPL,6/28/2023,07/03/23-07/07/23,MPL,SPANISH PAPRIKA CLASSIC,no,?,,,,,KIT,PINDEA/NA,D2,MPL,w8,F,SPK,H3,CLSC,DD12,,,,,,,
